prey growth rate,0.8
prey death rate,0.2
predator growth rate,0.0004
predator death,0.2
x,500
y,20
n,90000
t (days),180

timestep,x,y
0.696,848.246,20.9048
0.698,849.533,20.9106
0.7,850.823,20.9164
0.702,852.114,20.9223
0.704,853.407,20.9282
0.706,854.702,20.9342
0.708,855.999,20.9401
0.71,857.298,20.9461
0.712,858.598,20.9521
0.714,859.901,20.9581
0.716,861.206,20.9642
0.718,862.513,20.9702
0.72,863.821,20.9763
0.722,865.132,20.9824
0.724,866.444,20.9886
0.726,867.759,20.9947
0.728,869.076,21.0009
0.73,870.394,21.0071
0.732,871.714,21.0134
0.734,873.037,21.0196
0.736,874.361,21.0259
0.738,875.688,21.0322
0.74,877.016,21.0386
0.742,878.347,21.0449
0.744,879.679,21.0513
0.746,881.014,21.0577
0.748,882.35,21.0641
0.75,883.688,21.0706
0.752,885.029,21.0771
0.754,886.371,21.0836
0.756,887.716,21.0901
0.758,889.062,21.0967
0.76,890.411,21.1032
0.762,891.761,21.1099
0.764,893.114,21.1165
0.766,894.468,21.1231
0.768,895.825,21.1298
0.77,897.183,21.1365
0.772,898.544,21.1432
0.774,899.907,21.15
0.776,901.272,21.1568
0.778,902.638,21.1636
0.78,904.007,21.1704
0.782,905.378,21.1773
0.784,906.751,21.1841
0.786,908.126,21.1911
0.788,909.503,21.198
0.79,910.882,21.2049
0.792,912.263,21.2119
0.794,913.647,21.2189
0.796,915.032,21.226
0.798,916.419,21.233
0.8,917.809,21.2401
0.802,919.2,21.2472
0.804,920.594,21.2544
0.806,921.99,21.2615
0.808,923.388,21.2687
0.81,924.787,21.2759
0.812,926.189,21.2832
0.814,927.594,21.2905
0.816,929,21.2977
0.818,930.408,21.3051
0.82,931.818,21.3124
0.822,933.231,21.3198
0.824,934.646,21.3272
0.826,936.062,21.3346
0.828,937.481,21.3421
0.83,938.902,21.3496
0.832,940.325,21.3571
0.834,941.751,21.3646
0.836,943.178,21.3722
0.838,944.608,21.3798
0.84,946.039,21.3874
0.842,947.473,21.395
0.844,948.909,21.4027
0.846,950.347,21.4104
0.848,951.787,21.4181
0.85,953.23,21.4259
0.852,954.674,21.4337
0.854,956.121,21.4415
0.856,957.57,21.4493
0.858,959.021,21.4572
0.86,960.474,21.4651
0.862,961.929,21.473
0.864,963.387,21.4809
0.866,964.847,21.4889
0.868,966.309,21.4969
0.87,967.773,21.505
0.872,969.239,21.513
0.874,970.707,21.5211
0.876,972.178,21.5292
0.878,973.651,21.5374
0.88,975.126,21.5456
0.882,976.603,21.5538
0.884,978.083,21.562
0.886,979.564,21.5703
0.888,981.048,21.5785
0.89,982.534,21.5869
0.892,984.023,21.5952
0.894,985.513,21.6036
0.896,987.006,21.612
0.898,988.501,21.6204
0.9,989.998,21.6289
0.902,991.498,21.6374
0.904,993,21.6459
0.906,994.503,21.6545
0.908,996.01,21.663
0.91,997.518,21.6716
0.912,999.029,21.6803
0.914,1000.54,21.689
0.916,1002.06,21.6977
0.918,1003.57,21.7064
0.92,1005.09,21.7151
0.922,1006.62,21.7239
0.924,1008.14,21.7328
0.926,1009.67,21.7416
0.928,1011.2,21.7505
0.93,1012.73,21.7594
0.932,1014.26,21.7683
0.934,1015.8,21.7773
0.936,1017.33,21.7863
0.938,1018.87,21.7953
0.94,1020.42,21.8044
0.942,1021.96,21.8135
0.944,1023.51,21.8226
0.946,1025.06,21.8318
0.948,1026.61,21.841
0.95,1028.16,21.8502
0.952,1029.72,21.8594
0.954,1031.28,21.8687
0.956,1032.84,21.878
0.958,1034.4,21.8874
0.96,1035.97,21.8967
0.962,1037.54,21.9061
0.964,1039.11,21.9156
0.966,1040.68,21.925
0.968,1042.25,21.9345
0.97,1043.83,21.9441
0.972,1045.41,21.9536
0.974,1046.99,21.9632
0.976,1048.58,21.9729
0.978,1050.16,21.9825
0.98,1051.75,21.9922
0.982,1053.35,22.0019
0.984,1054.94,22.0117
0.986,1056.54,22.0215
0.988,1058.13,22.0313
0.99,1059.73,22.0411
0.992,1061.34,22.051
0.994,1062.94,22.061
0.996,1064.55,22.0709
0.998,1066.16,22.0809
1,1067.78,22.0909
1.002,1069.39,22.101
1.004,1071.01,22.111
1.006,1072.63,22.1212
1.008,1074.25,22.1313
1.01,1075.88,22.1415
1.012,1077.5,22.1517
1.014,1079.13,22.162
1.016,1080.77,22.1722
1.018,1082.4,22.1826
1.02,1084.04,22.1929
1.022,1085.68,22.2033
1.024,1087.32,22.2137
1.026,1088.96,22.2242
1.028,1090.61,22.2347
1.03,1092.26,22.2452
1.032,1093.91,22.2557
1.034,1095.56,22.2663
1.036,1097.22,22.277
1.038,1098.88,22.2876
1.04,1100.54,22.2983
1.042,1102.2,22.309
1.044,1103.87,22.3198
1.046,1105.54,22.3306
1.048,1107.21,22.3414
1.05,1108.89,22.3523
1.052,1110.56,22.3632
1.054,1112.24,22.3742
1.056,1113.92,22.3851
1.058,1115.61,22.3962
1.06,1117.29,22.4072
1.062,1118.98,22.4183
1.064,1120.67,22.4294
1.066,1122.37,22.4406
1.068,1124.06,22.4518
1.07,1125.76,22.463
1.072,1127.46,22.4742
1.074,1129.17,22.4855
1.076,1130.87,22.4969
1.078,1132.58,22.5082
1.08,1134.29,22.5197
1.082,1136.01,22.5311
1.084,1137.72,22.5426
1.086,1139.44,22.5541
1.088,1141.16,22.5657
1.09,1142.89,22.5773
1.092,1144.61,22.5889
1.094,1146.34,22.6006
1.096,1148.08,22.6123
1.098,1149.81,22.624
1.1,1151.55,22.6358
1.102,1153.29,22.6476
1.104,1155.03,22.6595
1.106,1156.77,22.6713
1.108,1158.52,22.6833
1.11,1160.27,22.6952
1.112,1162.02,22.7073
1.114,1163.78,22.7193
1.116,1165.54,22.7314
1.118,1167.3,22.7435
1.12,1169.06,22.7557
1.122,1170.82,22.7679
1.124,1172.59,22.7801
1.126,1174.36,22.7924
1.128,1176.14,22.8047
1.13,1177.91,22.817
1.132,1179.69,22.8294
1.134,1181.47,22.8419
1.136,1183.25,22.8543
1.138,1185.04,22.8669
