prey 1 growth rate,0.5
prey 1 death rate,0.0006
prey 2 growth rate,0.4
prey 2 death rate,0.0005
predator growth rate,0.0008
predator death rate,0.42
x1,500
x2,200
y,20
n,10000
t (days),100

timestep,x1,x2,y
4.29,1585.56,607.703,2955.34
4.3,1565.32,599.393,2994.68
4.31,1544.97,591.046,3033.85
4.32,1524.53,582.669,3072.83
4.33,1504,574.265,3111.59
4.34,1483.41,565.841,3150.11
4.35,1462.77,557.402,3188.36
4.36,1442.08,548.952,3226.33
4.37,1421.36,540.498,3263.99
4.38,1400.62,532.043,3301.31
4.39,1379.88,523.594,3338.29
4.4,1359.15,515.155,3374.89
4.41,1338.43,506.732,3411.09
4.42,1317.75,498.328,3446.88
4.43,1297.11,489.95,3482.24
4.44,1276.52,481.6,3517.14
4.45,1256,473.285,3551.58
4.46,1235.56,465.009,3585.52
4.47,1215.2,456.775,3618.96
4.48,1194.94,448.588,3651.88
4.49,1174.79,440.453,3684.26
4.5,1154.75,432.372,3716.09
4.51,1134.85,424.35,3747.35
4.52,1115.07,416.391,3778.04
4.53,1095.45,408.498,3808.14
4.54,1075.97,400.674,3837.63
4.55,1056.66,392.922,3866.51
4.56,1037.51,385.246,3894.77
4.57,1018.54,377.648,3922.4
4.58,999.759,370.131,3949.39
4.59,981.163,362.698,3975.74
4.6,962.762,355.35,4001.43
4.61,944.563,348.091,4026.46
4.62,926.571,340.921,4050.83
4.63,908.79,333.844,4074.53
4.64,891.226,326.86,4097.56
4.65,873.882,319.972,4119.92
4.66,856.762,313.18,4141.6
4.67,839.87,306.486,4162.61
4.68,823.209,299.891,4182.93
4.69,806.782,293.396,4202.59
4.7,790.591,287.002,4221.56
4.71,774.638,280.709,4239.86
4.72,758.925,274.519,4257.49
4.73,743.454,268.43,4274.45
4.74,728.226,262.445,4290.74
4.75,713.241,256.563,4306.38
4.76,698.501,250.783,4321.35
4.77,684.005,245.107,4335.67
4.78,669.753,239.533,4349.34
4.79,655.746,234.062,4362.37
4.8,641.983,228.693,4374.76
4.81,628.464,223.425,4386.52
4.82,615.187,218.259,4397.66
4.83,602.151,213.194,4408.19
4.84,589.355,208.228,4418.1
4.85,576.798,203.362,4427.42
4.86,564.478,198.594,4436.14
4.87,552.393,193.923,4444.28
4.88,540.541,189.349,4451.84
4.89,528.921,184.87,4458.84
4.9,517.529,180.486,4465.27
4.91,506.364,176.195,4471.16
4.92,495.423,171.996,4476.51
4.93,484.704,167.889,4481.33
4.94,474.204,163.871,4485.63
4.95,463.92,159.941,4489.42
4.96,453.85,156.099,4492.7
4.97,443.99,152.343,4495.49
4.98,434.337,148.671,4497.8
4.99,424.889,145.083,4499.64
5,415.643,141.576,4501.01
5.01,406.595,138.15,4501.93
5.02,397.742,134.804,4502.41
5.03,389.082,131.535,4502.45
5.04,380.61,128.342,4502.07
5.05,372.324,125.225,4501.27
5.06,364.221,122.181,4500.06
5.07,356.297,119.209,4498.47
5.08,348.55,116.308,4496.48
5.09,340.975,113.476,4494.12
5.1,333.57,110.713,4491.38
5.11,326.331,108.016,4488.29
5.12,319.256,105.384,4484.85
5.13,312.341,102.817,4481.07
5.14,305.583,100.312,4476.96
5.15,298.979,97.8678,4472.52
5.16,292.525,95.484,4467.77
5.17,286.22,93.1587,4462.71
5.18,280.059,90.8908,4457.35
5.19,274.039,88.6789,4451.7
5.2,268.159,86.5219,4445.77
5.21,262.414,84.4184,4439.57
5.22,256.802,82.3673,4433.1
5.23,251.32,80.3673,4426.37
5.24,245.965,78.4172,4419.4
5.25,240.734,76.516,4412.17
5.26,235.626,74.6623,4404.71
5.27,230.635,72.8552,4397.03
5.28,225.762,71.0935,4389.12
5.29,221.001,69.3761,4380.99
5.3,216.352,67.7019,4372.66
5.31,211.812,66.07,4364.12
5.32,207.377,64.4792,4355.39
5.33,203.046,62.9285,4346.47
5.34,198.816,61.4171,4337.36
5.35,194.686,59.9438,4328.08
5.36,190.651,58.5078,4318.63
5.37,186.711,57.1081,4309.01
5.38,182.863,55.7439,4299.23
5.39,179.105,54.4142,4289.3
5.4,175.435,53.1181,4279.22
5.41,171.85,51.8548,4268.99
5.42,168.349,50.6236,4258.63
5.43,164.93,49.4235,4248.13
5.44,161.59,48.2537,4237.5
5.45,158.328,47.1136,4226.75
5.46,155.142,46.0023,4215.88
5.47,152.03,44.9191,4204.9
5.48,148.99,43.8633,4193.8
5.49,146.021,42.8341,4182.6
5.5,143.121,41.8309,4171.3
5.51,140.288,40.8531,4159.9
5.52,137.52,39.8999,4148.4
5.53,134.817,38.9707,4136.82
5.54,132.176,38.0649,4125.15
5.55,129.595,37.1819,4113.4
